../cont135.txt is read
	elapsed1	detecting_time	elpased2	detecting_time+elpased2	diff
0	0.188114	0.019992	0.023392	0.043384	0.144730
1	0.146214	0.015821	0.015401	0.031222	0.114992
2	0.146773	0.014747	0.023699	0.038446	0.108327
3	0.153414	0.015890	0.022408	0.038298	0.115116
4	0.127648	0.012850	0.015947	0.028797	0.098851
5	0.168232	0.013050	0.020462	0.033512	0.134720
6	0.140679	0.028984	0.019728	0.048713	0.091966
7	0.144231	0.015688	0.023178	0.038866	0.105366
8	0.150016	0.013522	0.017878	0.031400	0.118616
9	0.132930	0.014442	0.023584	0.038026	0.094904
10	0.178698	0.018813	0.019309	0.038122	0.140576
11	0.181691	0.014155	0.014976	0.029132	0.152559
12	0.174775	0.012557	0.020016	0.032573	0.142202
13	0.154001	0.012854	0.014467	0.027321	0.126680
14	0.181063	0.016035	0.017396	0.033431	0.147632
15	0.147061	0.013645	0.029634	0.043279	0.103781
16	0.184892	0.013003	0.033322	0.046325	0.138567
17	0.141235	0.012298	0.016950	0.029247	0.111988
18	0.163210	0.013808	0.021593	0.035401	0.127809
19	0.155317	0.013376	0.018668	0.032044	0.123273
20	0.148590	0.012467	0.021917	0.034384	0.114206
21	0.164987	0.014037	0.017664	0.031701	0.133285
22	0.153869	0.013674	0.015681	0.029355	0.124513
23	0.141191	0.013545	0.037790	0.051335	0.089856
24	0.168987	0.013709	0.024062	0.037771	0.131216
25	0.174256	0.013096	0.020322	0.033418	0.140839
26	0.181544	0.014465	0.019737	0.034202	0.147342
27	0.217669	0.013151	0.023438	0.036589	0.181080
28	0.176632	0.012490	0.019631	0.032121	0.144511
29	0.151159	0.013231	0.025088	0.038319	0.112840
30	0.170511	0.012723	0.030680	0.043403	0.127108
31	0.170037	0.014120	0.018195	0.032315	0.137722
32	0.137492	0.012773	0.017065	0.029838	0.107654
33	0.106593	0.012059	0.016834	0.028893	0.077700
34	0.103727	0.014212	0.014026	0.028238	0.075489
35	0.123099	0.018210	0.010664	0.028873	0.094225
36	0.112246	0.012777	0.015027	0.027805	0.084441
37	0.104020	0.012797	0.015187	0.027984	0.076036
38	0.106627	0.012621	0.012031	0.024653	0.081974
39	0.100831	0.017747	0.011678	0.029425	0.071406
40	0.102121	0.013592	0.013867	0.027460	0.074661
41	0.107264	0.016495	0.014555	0.031050	0.076213
42	0.096446	0.023237	0.013889	0.037126	0.059320
43	0.112400	0.012736	0.013631	0.026367	0.086033
44	0.094928	0.013493	0.014864	0.028357	0.066571
45	0.100816	0.013161	0.013389	0.026550	0.074266
46	0.107397	0.012747	0.013322	0.026069	0.081328
47	0.103736	0.013261	0.015365	0.028626	0.075110
48	0.104317	0.015309	0.013591	0.028900	0.075417
49	0.093577	0.015864	0.016540	0.032405	0.061173
50	0.120576	0.012915	0.014604	0.027519	0.093056
51	0.101043	0.014041	0.012149	0.026191	0.074852
52	0.089997	0.013254	0.013452	0.026706	0.063291
53	0.099058	0.014028	0.009966	0.023994	0.075064
54	0.111946	0.011907	0.015591	0.027498	0.084448
55	0.124610	0.019076	0.014413	0.033489	0.091122
56	0.132637	0.018356	0.018240	0.036596	0.096041
57	0.117032	0.017955	0.012551	0.030507	0.086525
58	0.091186	0.016009	0.012203	0.028212	0.062974
59	0.082032	0.012827	0.015493	0.028320	0.053712
60	0.104048	0.021687	0.014259	0.035946	0.068102
61	0.091912	0.018990	0.014949	0.033939	0.057973
62	0.106439	0.016819	0.011771	0.028590	0.077849
63	0.095497	0.012977	0.013149	0.026126	0.069371
64	0.097516	0.013579	0.014678	0.028257	0.069259
65	0.118057	0.012874	0.012009	0.024883	0.093175
66	0.096174	0.012765	0.013138	0.025903	0.070271
67	0.091952	0.012323	0.014061	0.026385	0.065568
68	0.112990	0.013863	0.009146	0.023009	0.089981
69	0.089106	0.019167	0.016283	0.035450	0.053656
70	0.084002	0.011949	0.013797	0.025746	0.058256
71	0.118538	0.014044	0.010147	0.024191	0.094347
72	0.122047	0.016069	0.010438	0.026507	0.095540
73	0.099700	0.013251	0.008643	0.021893	0.077807
74	0.096021	0.012666	0.015042	0.027708	0.068313
75	0.095945	0.012378	0.012276	0.024655	0.071291
76	0.113866	0.013471	0.015920	0.029391	0.084475
77	0.103200	0.012811	0.011594	0.024406	0.078794
78	0.102928	0.012446	0.011436	0.023882	0.079046
79	0.125263	0.012476	0.018698	0.031174	0.094089
80	0.103318	0.012712	0.014112	0.026823	0.076495
81	0.121676	0.012474	0.015938	0.028411	0.093265
82	0.122448	0.013152	0.017337	0.030488	0.091960
83	0.117787	0.012827	0.014522	0.027349	0.090438
84	0.130857	0.012263	0.012681	0.024944	0.105913
85	0.102461	0.012720	0.012459	0.025179	0.077282
86	0.114044	0.013100	0.012708	0.025808	0.088236
87	0.113894	0.012736	0.020921	0.033657	0.080237
88	0.102148	0.013408	0.012330	0.025738	0.076410
89	0.097570	0.013222	0.016206	0.029427	0.068142
90	0.107417	0.022798	0.014528	0.037326	0.070091
91	0.111325	0.012150	0.010883	0.023032	0.088293
92	0.086459	0.013024	0.009718	0.022742	0.063717
93	0.097862	0.011874	0.013340	0.025215	0.072648
94	0.108495	0.012085	0.015225	0.027310	0.081185
95	0.101661	0.013095	0.013225	0.026319	0.075342
96	0.095408	0.013474	0.014730	0.028204	0.067203
97	0.098981	0.012448	0.013624	0.026073	0.072908
98	0.116894	0.013504	0.011629	0.025133	0.091761
99	0.114921	0.012987	0.012435	0.025423	0.089498
avg is 0.093455
